,acc,accuracy,average_response_time,avg_rt,bg,correct,correct_keyboard_response,count_exp,count_keyboard_response,count_sequence,response_keyboard_response,response_time_keyboard_response,soa,t1first_resp,t1lum,t1ori,t1right,t2lum,t2ori,time_exp,time_keyboard_response,time_sequence,condition
0,78.8461538462,78.8461538462,860.561372577,860.561372577,,0.0,1.0,0.0,51.0,5.0,return,685.172120602,10.0,return,88.0,0.0,True,88.0,0.0,285543.233539,300859.886306,299567.785931,1.0
1,75.3246753247,75.3246753247,1541.38129204,1541.38129204,,0.0,0.0,0.0,76.0,30.0,return,689.541997237,0.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,424301.764806,423042.279635,1.0
2,75.2941176471,75.2941176471,1480.25075951,1480.25075951,,1.0,0.0,0.0,84.0,38.0,return,715.409872611,5.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,447373.453688,446128.884684,1.0
3,75.0,75.0,2090.14206942,2090.14206942,,0.0,0.0,0.0,99.0,53.0,lctrl,1718.62398671,0.0,return,88.0,0.0,True,88.0,0.0,285543.233539,655288.212038,654085.499581,1.0
4,77.1929824561,77.1929824561,1885.77579379,1885.77579379,,1.0,1.0,0.0,113.0,67.0,lctrl,347.078785557,-10.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,690730.039563,689403.44982,1.0
5,75.8333333333,75.8333333333,1835.65599067,1835.65599067,,0.0,1.0,0.0,119.0,73.0,return,2875.6170467,0.0,return,88.0,0.0,True,88.0,0.0,285543.233539,705218.536311,704025.981379,1.0
6,75.3846153846,75.3846153846,1759.21629456,1759.21629456,,1.0,1.0,0.0,129.0,83.0,lctrl,880.335589125,0.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,735464.47415,734243.266095,1.0
7,75.0,75.0,1742.98378831,1742.98378831,,1.0,1.0,0.0,131.0,85.0,lctrl,775.089834115,-5.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,740930.139065,739616.862511,1.0
8,75.5395683453,75.5395683453,1683.97750252,1683.97750252,,1.0,1.0,0.0,138.0,92.0,return,679.140814085,-5.0,return,88.0,0.0,True,88.0,0.0,285543.233539,758855.942237,757578.929644,1.0
9,74.6835443038,74.6835443038,1597.77072287,1597.77072287,,0.0,1.0,0.0,157.0,111.0,lctrl,464.702516034,10.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,832897.089898,831535.989038,1.0
10,75.6097560976,75.6097560976,1558.38824202,1558.38824202,,1.0,1.0,0.0,163.0,117.0,lctrl,454.914386577,-10.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,847905.209801,846615.529017,1.0
11,75.9433962264,75.9433962264,1344.85366713,1344.85366713,,1.0,1.0,0.0,211.0,165.0,return,495.65289199,-10.0,return,88.0,0.0,True,88.0,0.0,285543.233539,1073665.82219,1072339.17094,1.0
12,75.3424657534,75.3424657534,1326.76968823,1326.76968823,,0.0,0.0,0.0,218.0,172.0,return,688.329143226,0.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1092650.71198,1091430.25529,1.0
13,75.1037344398,75.1037344398,1276.90747591,1276.90747591,,0.0,0.0,0.0,240.0,194.0,return,619.39662467,0.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1153602.26782,1152404.88798,1.0
14,74.7169811321,74.7169811321,1204.55948265,1204.55948265,,0.0,1.0,0.0,264.0,218.0,lctrl,460.581734942,5.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1347368.37866,1346124.0805,1.0
15,74.2753623188,74.2753623188,1183.26101279,1183.26101279,,1.0,1.0,0.0,275.0,229.0,lctrl,410.088403431,-5.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1376345.33784,1375071.19069,1.0
16,74.0072202166,74.0072202166,1180.73698798,1180.73698798,,0.0,0.0,0.0,276.0,230.0,return,484.106141208,0.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1378683.58545,1377459.47933,1.0
17,74.8251748252,74.8251748252,1209.17364491,1209.17364491,,1.0,1.0,0.0,285.0,239.0,return,13354.8391482,-5.0,return,88.0,0.0,True,88.0,0.0,285543.233539,1402684.42212,1401407.11693,1.0
18,75.4838709677,75.4838709677,1154.73069629,1154.73069629,,1.0,1.0,0.0,309.0,263.0,lctrl,531.676932938,-5.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1485918.35545,1484604.18345,1.0
19,76.0252365931,76.0252365931,1140.45662515,1140.45662515,,0.0,1.0,0.0,316.0,270.0,return,479.78282131,10.0,return,88.0,0.0,True,88.0,0.0,285543.233539,1503544.30672,1502221.09659,1.0
20,74.7851002865,74.7851002865,1093.81579092,1093.81579092,,0.0,1.0,0.0,348.0,302.0,lctrl,481.589698524,5.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1683881.03904,1682639.77896,1.0
21,75.6232686981,75.6232686981,1091.35147599,1091.35147599,,0.0,1.0,0.0,360.0,314.0,return,440.181387772,5.0,return,88.0,0.0,True,88.0,0.0,285543.233539,1719932.40743,1718656.73037,1.0
22,75.4143646409,75.4143646409,1089.88723487,1089.88723487,,1.0,0.0,0.0,361.0,315.0,lctrl,561.29619397,0.0,return,88.0,0.0,True,88.0,0.0,285543.233539,1722270.53543,1721076.01628,1.0
23,75.5494505495,75.5494505495,1086.64461927,1086.64461927,,0.0,1.0,0.0,363.0,317.0,return,493.945585027,10.0,return,88.0,0.0,True,88.0,0.0,285543.233539,1727296.61536,1725937.51984,1.0
24,75.2525252525,75.2525252525,1059.31976895,1059.31976895,,1.0,0.0,0.0,395.0,349.0,return,467.249883268,0.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1814597.20299,1813375.05089,1.0
25,75.3768844221,75.3768844221,1057.12364769,1057.12364769,,0.0,1.0,0.0,397.0,351.0,lctrl,774.897490219,5.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1890177.15723,1888902.31377,1.0
26,75.0,75.0,1040.20782178,1040.20782178,,1.0,1.0,0.0,411.0,365.0,lctrl,1356.922987,-5.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1925339.23516,1924096.12471,1.0
27,75.0,75.0,1035.33124308,1035.33124308,,1.0,1.0,0.0,427.0,381.0,lctrl,425.223421371,-10.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1972531.72315,1971201.3076,1.0
28,74.8251748252,74.8251748252,1034.74209367,1034.74209367,,1.0,0.0,0.0,428.0,382.0,return,782.586148656,0.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,1974849.87763,1973660.57385,1.0
29,74.6606334842,74.6606334842,1038.84066134,1038.84066134,,1.0,1.0,0.0,441.0,395.0,lctrl,430.883633302,-10.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,2016167.07684,2014871.05177,1.0
30,74.3929359823,74.3929359823,1044.79102414,1044.79102414,,0.0,0.0,0.0,452.0,406.0,return,606.328454051,0.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,2102258.6587,2101062.45739,1.0
31,74.3421052632,74.3421052632,1044.10018258,1044.10018258,,1.0,1.0,0.0,455.0,409.0,return,1615.56503908,-5.0,return,88.0,0.0,True,88.0,0.0,285543.233539,2110012.49692,2108772.31308,1.0
32,74.1525423729,74.1525423729,1212.01141502,1212.01141502,,1.0,0.0,0.0,471.0,425.0,lctrl,1111.18802601,5.0,return,88.0,0.0,True,88.0,0.0,285543.233539,2238010.83175,2236733.28324,1.0
33,73.8396624473,73.8396624473,1286.10219616,1286.10219616,,1.0,0.0,0.0,473.0,427.0,return,581.23878985,5.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,2280067.44576,2278753.85792,1.0
34,73.347107438,73.347107438,1274.26738955,1274.26738955,,1.0,1.0,0.0,483.0,437.0,return,666.942948624,0.0,return,88.0,0.0,True,88.0,0.0,285543.233539,2307026.0123,2305798.80964,1.0
35,73.4567901235,73.4567901235,1272.47070257,1272.47070257,,1.0,1.0,0.0,485.0,439.0,return,765.438316399,-5.0,return,88.0,0.0,True,88.0,0.0,285543.233539,2312581.59833,2311337.42183,1.0
36,72.5897920605,72.5897920605,1384.19482302,1384.19482302,,0.0,1.0,0.0,528.0,482.0,lctrl,537.774506345,5.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,2527590.80603,2526273.91912,1.0
37,72.2719141324,72.2719141324,1557.83729634,1557.83729634,,0.0,1.0,0.0,558.0,512.0,return,446.204878193,0.0,return,88.0,0.0,True,88.0,0.0,285543.233539,2733157.49499,2731937.36114,1.0
38,72.9235880399,72.9235880399,1485.92349106,1485.92349106,,1.0,1.0,0.0,601.0,555.0,lctrl,600.600955739,-10.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,2882039.24835,2880718.57777,1.0
39,72.2675367047,72.2675367047,1481.27727316,1481.27727316,,1.0,1.0,0.0,612.0,566.0,lctrl,601.072640067,-10.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,2917311.20087,2915942.46165,1.0
40,71.7908082409,71.7908082409,1567.86995028,1567.86995028,,0.0,1.0,0.0,630.0,584.0,return,13583.8677163,5.0,return,88.0,0.0,True,88.0,0.0,285543.233539,3021148.71276,3019876.76601,1.0
41,72.1098265896,72.1098265896,1615.18200379,1615.18200379,,1.0,1.0,0.0,691.0,645.0,return,519.109332214,-10.0,return,88.0,0.0,True,88.0,0.0,285543.233539,3308830.18922,3307467.16832,1.0
42,72.5105189341,72.5105189341,1601.51663705,1601.51663705,,0.0,1.0,0.0,712.0,666.0,return,526.38101899,5.0,return,88.0,0.0,True,88.0,0.0,285543.233539,3406792.34981,3405480.86246,1.0
43,72.7395411606,72.7395411606,1609.60202514,1609.60202514,,0.0,1.0,0.0,740.0,694.0,return,240.609641798,5.0,return,88.0,0.0,True,88.0,0.0,285543.233539,3513287.72914,3512044.53033,1.0
44,72.8609625668,72.8609625668,1597.73825106,1597.73825106,,0.0,1.0,0.0,747.0,701.0,return,459.439225786,10.0,return,88.0,0.0,True,88.0,0.0,285543.233539,3531363.41001,3530070.46175,1.0
45,73.1143552311,73.1143552311,1497.82356075,1497.82356075,,1.0,1.0,0.0,821.0,775.0,lctrl,331.869004971,-10.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,3728346.90037,3726987.96355,1.0
46,72.4501758499,72.4501758499,1452.26106403,1452.26106403,,0.0,0.0,0.0,852.0,806.0,lctrl,622.935616451,0.0,return,88.0,0.0,True,88.0,0.0,285543.233539,3807723.84004,3806529.67261,1.0
47,72.247706422,72.247706422,1428.65859229,1428.65859229,,0.0,1.0,0.0,871.0,825.0,lctrl,557.997801978,10.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,3852168.56496,3850842.49957,1.0
48,72.3428571429,72.3428571429,1424.85254544,1424.85254544,,0.0,1.0,0.0,874.0,828.0,return,303.103397418,10.0,return,88.0,0.0,True,88.0,0.0,285543.233539,3859372.81175,3858014.49138,1.0
49,71.7002237136,71.7002237136,1405.45025023,1405.45025023,,1.0,0.0,0.0,893.0,847.0,return,800.862557033,0.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,3905955.81222,3904762.36727,1.0
50,71.7318435754,71.7318435754,1404.06797717,1404.06797717,,0.0,1.0,0.0,894.0,848.0,lctrl,168.315862662,10.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,3908753.59591,3907460.66601,1.0
51,71.7948717949,71.7948717949,1401.49862629,1401.49862629,,0.0,1.0,0.0,896.0,850.0,return,246.519968762,0.0,return,88.0,0.0,True,88.0,0.0,285543.233539,3918835.58777,3917611.96046,1.0
52,71.9955898567,71.9955898567,1394.88554047,1394.88554047,,1.0,1.0,0.0,906.0,860.0,return,84.6007300932,-10.0,return,88.0,0.0,True,88.0,0.0,285543.233539,3946643.5052,3945279.98645,1.0
53,71.8142548596,71.8142548596,1373.17970372,1373.17970372,,0.0,1.0,0.0,925.0,879.0,return,214.496069184,5.0,return,88.0,0.0,True,88.0,0.0,285543.233539,3990668.53845,3989391.63155,1.0
54,71.5789473684,71.5789473684,1346.29749373,1346.29749373,,0.0,1.0,0.0,949.0,903.0,return,397.077324283,0.0,return,88.0,0.0,True,88.0,0.0,285543.233539,4046644.03703,4045416.71883,1.0
55,71.6371220021,71.6371220021,1336.22569945,1336.22569945,,0.0,1.0,0.0,958.0,912.0,return,303.28622607,0.0,return,88.0,0.0,True,88.0,0.0,285543.233539,4067017.88288,4065794.96922,1.0
56,71.7842323651,71.7842323651,1330.87050027,1330.87050027,,1.0,1.0,0.0,963.0,917.0,return,447.497252473,0.0,return,88.0,0.0,True,88.0,0.0,285543.233539,4078338.90485,4077147.21275,1.0
57,71.7234262126,71.7234262126,1325.65392606,1325.65392606,,0.0,0.0,0.0,968.0,922.0,return,428.078334939,0.0,lctrl,88.0,0.0,False,88.0,0.0,285543.233539,4089919.68691,4088694.43759,1.0
58,71.9673802243,71.9673802243,1312.14939278,1312.14939278,,0.0,1.0,0.0,980.0,934.0,return,140.975842831,10.0,return,88.0,0.0,True,88.0,0.0,285543.233539,4116618.48384,4115325.34868,1.0
59,71.875,71.875,1303.9297898,1303.9297898,,1.0,1.0,0.0,991.0,945.0,return,144.050626547,-10.0,return,88.0,0.0,True,88.0,0.0,285543.233539,4144606.26491,4143316.41081,1.0
0,77.5510204082,77.5510204082,867.140765869,867.140765869,,0.0,1.0,0.0,48.0,2.0,lctrl,862.702139502,10.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,292436.588363,291107.874342,2.0
1,76.5217391304,76.5217391304,1872.7369,1872.7369,,1.0,0.0,0.0,114.0,68.0,return,386.303007566,0.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,693038.216286,691780.626008,2.0
2,76.0,76.0,1794.67981945,1794.67981945,,0.0,1.0,0.0,124.0,78.0,lctrl,853.386713863,10.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,721375.660205,720071.703154,2.0
3,75.0,75.0,1771.83226157,1771.83226157,,1.0,0.0,0.0,127.0,81.0,return,1337.26312985,10.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,729289.410959,727999.563658,2.0
4,75.8974358974,75.8974358974,1407.7031596,1407.7031596,,0.0,1.0,0.0,194.0,148.0,lctrl,637.111973374,0.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,928291.310949,927074.300137,2.0
5,75.641025641,75.641025641,1291.67414221,1291.67414221,,1.0,0.0,0.0,233.0,187.0,return,658.60385517,0.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,1134097.83304,1132872.77267,2.0
6,75.3138075314,75.3138075314,1283.14350859,1283.14350859,,0.0,1.0,0.0,238.0,192.0,lctrl,343.149668699,5.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,1148846.07867,1147604.36559,2.0
7,74.9152542373,74.9152542373,1186.42259439,1186.42259439,,0.0,1.0,0.0,294.0,248.0,return,475.514553907,0.0,return,88.0,0.0,True,120.0,0.0,285543.233539,1437646.73189,1436425.90614,2.0
8,75.7961783439,75.7961783439,1146.92175023,1146.92175023,,0.0,1.0,0.0,313.0,267.0,return,496.036220462,5.0,return,88.0,0.0,True,120.0,0.0,285543.233539,1496150.19306,1494837.32804,2.0
9,75.4475703325,75.4475703325,1065.03598107,1065.03598107,,0.0,1.0,0.0,390.0,344.0,return,797.670192065,5.0,return,88.0,0.0,True,120.0,0.0,285543.233539,1801607.52975,1800336.62493,2.0
10,75.4901960784,75.4901960784,1043.01568015,1043.01568015,,0.0,1.0,0.0,407.0,361.0,lctrl,345.29739561,10.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,1915507.09022,1914139.06736,2.0
11,75.0,75.0,1048.01587805,1048.01587805,,0.0,1.0,0.0,431.0,385.0,return,591.394955423,0.0,return,88.0,0.0,True,120.0,0.0,285543.233539,1989837.99784,1988576.17838,2.0
12,74.2290748899,74.2290748899,1043.87746314,1043.87746314,,1.0,0.0,0.0,453.0,407.0,lctrl,630.034329648,0.0,return,88.0,0.0,True,120.0,0.0,285543.233539,2104836.63173,2103568.77858,2.0
13,73.0223123732,73.0223123732,1264.93320464,1264.93320464,,0.0,1.0,0.0,492.0,446.0,return,728.439302587,5.0,return,88.0,0.0,True,120.0,0.0,285543.233539,2331456.60334,2330182.51397,2.0
14,72.3591549296,72.3591549296,1539.60244286,1539.60244286,,0.0,1.0,0.0,567.0,521.0,return,268.607233083,10.0,return,88.0,0.0,True,120.0,0.0,285543.233539,2754810.29862,2753452.67898,2.0
15,72.5423728814,72.5423728814,1497.95727774,1497.95727774,,1.0,0.0,0.0,589.0,543.0,lctrl,437.641496803,5.0,return,88.0,0.0,True,120.0,0.0,285543.233539,2807648.34608,2806338.43317,2.0
16,71.9298245614,71.9298245614,1545.36520263,1545.36520263,,0.0,1.0,0.0,626.0,580.0,lctrl,12209.5916396,10.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,2994290.03217,2992996.83108,2.0
17,71.9435736677,71.9435736677,1576.89326168,1576.89326168,,0.0,1.0,0.0,637.0,591.0,return,1382.55773885,0.0,return,88.0,0.0,True,120.0,0.0,285543.233539,3064084.59733,3062866.51605,2.0
18,71.860816944,71.860816944,1588.90613924,1588.90613924,,1.0,0.0,0.0,660.0,614.0,return,898.850898135,5.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,3179712.73847,3178397.06441,2.0
19,71.752265861,71.752265861,1588.46849065,1588.46849065,,1.0,0.0,0.0,661.0,615.0,lctrl,1299.18277632,0.0,return,88.0,0.0,True,120.0,0.0,285543.233539,3182540.55602,3181315.38962,2.0
20,71.9117647059,71.9117647059,1634.9907877,1634.9907877,,0.0,1.0,0.0,679.0,633.0,return,364.861760471,10.0,return,88.0,0.0,True,120.0,0.0,285543.233539,3279143.76891,3277853.93214,2.0
21,72.1264367816,72.1264367816,1614.94593339,1614.94593339,,0.0,1.0,0.0,695.0,649.0,return,3731.66293193,10.0,return,88.0,0.0,True,120.0,0.0,285543.233539,3319671.54765,3318378.38666,2.0
22,72.9057591623,72.9057591623,1586.54489915,1586.54489915,,0.0,1.0,0.0,763.0,717.0,return,310.162350484,10.0,return,88.0,0.0,True,120.0,0.0,285543.233539,3580324.50047,3578965.83415,2.0
23,73.1517509728,73.1517509728,1574.73577741,1574.73577741,,0.0,1.0,0.0,770.0,724.0,return,400.566361023,10.0,return,88.0,0.0,True,120.0,0.0,285543.233539,3596191.87187,3594866.56839,2.0
24,73.3170134639,73.3170134639,1504.7087668,1504.7087668,,0.0,1.0,0.0,816.0,770.0,return,277.22532714,5.0,return,88.0,0.0,True,120.0,0.0,285543.233539,3716546.28182,3715232.67597,2.0
25,73.0909090909,73.0909090909,1493.25427976,1493.25427976,,1.0,0.0,0.0,824.0,778.0,return,315.422582262,5.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,3734991.63644,3733714.69725,2.0
26,72.1533258174,72.1533258174,1412.66052578,1412.66052578,,0.0,1.0,0.0,886.0,840.0,lctrl,115.289436784,5.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,3889678.73302,3888364.60587,2.0
27,71.7182497332,71.7182497332,1359.86511398,1359.86511398,,0.0,1.0,0.0,936.0,890.0,lctrl,248.072652979,5.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,4015338.94155,4014029.28725,2.0
28,71.6402116402,71.6402116402,1351.54261068,1351.54261068,,0.0,1.0,0.0,944.0,898.0,lctrl,384.317719494,0.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,4034034.13696,4032775.38821,2.0
29,71.9512195122,71.9512195122,1309.40415752,1309.40415752,,1.0,0.0,0.0,983.0,937.0,return,304.070894021,0.0,lctrl,88.0,0.0,False,120.0,0.0,285543.233539,4123622.9312,4122358.13142,2.0
0,79.6296296296,79.6296296296,948.427776805,948.427776805,,0.0,1.0,0.0,53.0,7.0,return,5219.1469854,10.0,return,88.0,0.0,True,152.0,0.0,285543.233539,306755.208068,305388.572394,3.0
1,79.3103448276,79.3103448276,1414.4958313,1414.4958313,,1.0,0.0,0.0,57.0,11.0,return,26715.5933809,10.0,lctrl,88.0,0.0,False,152.0,0.0,285543.233539,324241.292021,322949.36258,3.0
2,76.4705882353,76.4705882353,1642.79309486,1642.79309486,,1.0,0.0,0.0,67.0,21.0,return,944.107785987,0.0,lctrl,88.0,0.0,False,152.0,0.0,285543.233539,399301.709414,398039.54944,3.0
3,75.3731343284,75.3731343284,1726.21918677,1726.21918677,,0.0,1.0,0.0,133.0,87.0,return,594.099324215,0.0,return,88.0,0.0,True,152.0,0.0,285543.233539,746235.995087,745046.459207,3.0
