,acc,accuracy,average_response_time,avg_rt,bg,correct,correct_keyboard_response,count_exp,count_keyboard_response,count_sequence,response_keyboard_response,response_time_keyboard_response,soa,t1first_resp,t1lum,t1ori,t1right,t2lum,t2ori,time_exp,time_keyboard_response,time_sequence,condition
0,78.3333333333,78.3333333333,888.592619308,888.592619308,,0.0,1.0,0.0,59.0,13.0,lctrl,1097.96549277,0.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,262511.915715,261274.026792,1.0
1,77.7777777778,77.7777777778,894.651170672,894.651170672,,1.0,1.0,0.0,62.0,16.0,lctrl,957.764209365,-10.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,271691.97768,270353.530615,1.0
2,77.3333333333,77.3333333333,894.815733042,894.815733042,,0.0,1.0,0.0,74.0,28.0,return,1129.00495131,5.0,return,88.0,0.0,True,88.0,0.0,202954.858591,305872.25576,304584.404735,1.0
3,78.2051282051,78.2051282051,897.202486686,897.202486686,,1.0,1.0,0.0,77.0,31.0,return,900.805928344,-5.0,return,88.0,0.0,True,88.0,0.0,202954.858591,314972.32999,313648.723666,1.0
4,79.6460176991,79.6460176991,960.040298183,960.040298183,,0.0,1.0,0.0,112.0,66.0,lctrl,1343.86945382,10.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,447063.361751,445686.582633,1.0
5,79.4871794872,79.4871794872,955.020120462,955.020120462,,0.0,1.0,0.0,116.0,70.0,lctrl,663.57551086,10.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,459023.495139,457646.298688,1.0
6,80.3149606299,80.3149606299,947.21322119,947.21322119,,0.0,1.0,0.0,126.0,80.0,lctrl,840.972902575,0.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,487253.66927,486021.879411,1.0
7,80.4054054054,80.4054054054,1150.495158,1150.495158,,1.0,1.0,0.0,147.0,101.0,return,32312.92684,-5.0,return,88.0,0.0,True,88.0,0.0,202954.858591,561364.234424,560077.36152,1.0
8,79.8742138365,79.8742138365,1160.55248946,1160.55248946,,0.0,0.0,0.0,158.0,112.0,lctrl,1119.89326121,0.0,return,88.0,0.0,True,88.0,0.0,202954.858591,628804.747238,627532.236055,1.0
9,80.0,80.0,1159.04782992,1159.04782992,,1.0,1.0,0.0,159.0,113.0,return,919.806963291,-10.0,return,88.0,0.0,True,88.0,0.0,202954.858591,632004.7815,630627.9506,1.0
10,80.6060606061,80.6060606061,1261.18275658,1261.18275658,,0.0,1.0,0.0,164.0,118.0,lctrl,1173.09938082,10.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,664655.01584,663283.585058,1.0
11,81.1594202899,81.1594202899,1274.44226815,1274.44226815,,1.0,1.0,0.0,206.0,160.0,lctrl,1595.36976126,0.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,834646.3206,833408.741064,1.0
12,82.0717131474,82.0717131474,1521.21204391,1521.21204391,,0.0,1.0,0.0,250.0,204.0,return,33190.2758551,10.0,return,88.0,0.0,True,88.0,0.0,202954.858591,1047687.91128,1046358.47961,1.0
13,82.6666666667,82.6666666667,1599.79042974,1599.79042974,,0.0,1.0,0.0,299.0,253.0,lctrl,1541.31966689,0.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,1296949.75774,1295746.03842,1.0
14,82.4675324675,82.4675324675,1626.68691537,1626.68691537,,0.0,0.0,0.0,307.0,261.0,lctrl,744.497840727,0.0,return,88.0,0.0,True,88.0,0.0,202954.858591,1334850.04972,1333641.89273,1.0
15,83.0721003135,83.0721003135,1662.70533265,1662.70533265,,0.0,1.0,0.0,318.0,272.0,return,847.385194691,5.0,return,88.0,0.0,True,88.0,0.0,202954.858591,1386090.42681,1384769.00431,1.0
16,81.7391304348,81.7391304348,1652.32038515,1652.32038515,,0.0,1.0,0.0,344.0,298.0,lctrl,4967.41295241,5.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,1473721.08345,1472440.42758,1.0
17,81.8965517241,81.8965517241,1708.98034269,1708.98034269,,0.0,1.0,0.0,347.0,301.0,lctrl,22308.5006278,5.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,1506211.31693,1504887.23315,1.0
18,81.4713896458,81.4713896458,1748.68676145,1748.68676145,,0.0,1.0,0.0,366.0,320.0,lctrl,944.454486207,0.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,1612582.10995,1611350.35205,1.0
19,81.2834224599,81.2834224599,1733.92376316,1733.92376316,,1.0,0.0,0.0,373.0,327.0,lctrl,1286.02359933,0.0,return,88.0,0.0,True,88.0,0.0,202954.858591,1632952.2499,1631717.2944,1.0
20,81.4249363868,81.4249363868,1724.72497451,1724.72497451,,1.0,1.0,0.0,392.0,346.0,lctrl,1192.57710136,-5.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,1700212.74619,1698885.06549,1.0
21,81.5656565657,81.5656565657,1721.41960396,1721.41960396,,1.0,1.0,0.0,395.0,349.0,return,1094.34770309,-5.0,return,88.0,0.0,True,88.0,0.0,202954.858591,1710142.83112,1708820.48248,1.0
22,81.4536340852,81.4536340852,1729.58527766,1729.58527766,,1.0,1.0,0.0,398.0,352.0,return,3069.34581552,-5.0,return,88.0,0.0,True,88.0,0.0,202954.858591,1755143.15717,1753811.93165,1.0
23,81.25,81.25,1730.72943837,1730.72943837,,1.0,0.0,0.0,399.0,353.0,lctrl,2187.24956314,0.0,return,88.0,0.0,True,88.0,0.0,202954.858591,1760153.19358,1758916.3795,1.0
24,80.8716707022,80.8716707022,1801.44705705,1801.44705705,,1.0,1.0,0.0,412.0,366.0,lctrl,1285.55127518,-5.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,1838453.78845,1837130.9349,1.0
25,80.985915493,80.985915493,1806.19041203,1806.19041203,,0.0,1.0,0.0,425.0,379.0,lctrl,10518.4633621,5.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,1880644.11092,1879361.68025,1.0
26,80.8558558559,80.8558558559,1809.33660856,1809.33660856,,0.0,1.0,0.0,443.0,397.0,return,1692.9516502,10.0,return,88.0,0.0,True,88.0,0.0,202954.858591,1959444.65582,1958136.85325,1.0
27,80.6593406593,80.6593406593,1844.51814597,1844.51814597,,0.0,1.0,0.0,454.0,408.0,lctrl,1279.03328245,10.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,2046385.31949,2045055.3403,1.0
28,80.8823529412,80.8823529412,1930.87375268,1930.87375268,,1.0,0.0,0.0,475.0,429.0,lctrl,1216.42558558,0.0,return,88.0,0.0,True,88.0,0.0,202954.858591,2168006.19968,2166766.30047,1.0
29,81.124497992,81.124497992,1959.76740947,1959.76740947,,1.0,1.0,0.0,497.0,451.0,lctrl,29162.2253257,-5.0,lctrl,88.0,0.0,False,88.0,0.0,202954.858591,2250186.81882,2248900.72372,1.0
