,acc,accuracy,average_response_time,avg_rt,bg,correct,correct_keyboard_response,count_exp,count_keyboard_response,count_sequence,response_keyboard_response,response_time_keyboard_response,soa,t1first_resp,t1lum,t1ori,t1right,t2lum,t2ori,time_exp,time_keyboard_response,time_sequence,condition
0,68.253968254,68.253968254,396.71114925,396.71114925,,1.0,1.0,0.0,62.0,16.0,return,157.570787529,-10.0,return,88.0,0.0,True,88.0,0.0,356136.189737,393714.102416,392334.94045,1.0
1,68.4931506849,68.4931506849,375.560166724,375.560166724,,1.0,1.0,0.0,72.0,26.0,return,173.076492101,-5.0,return,88.0,0.0,True,88.0,0.0,356136.189737,416074.354974,414750.797116,1.0
2,69.2307692308,69.2307692308,367.290265324,367.290265324,,0.0,1.0,0.0,77.0,31.0,return,224.829000119,5.0,return,88.0,0.0,True,88.0,0.0,356136.189737,427094.479561,425806.318384,1.0
3,71.875,71.875,351.683438936,351.683438936,,1.0,1.0,0.0,95.0,49.0,lctrl,137.967183964,-5.0,lctrl,88.0,0.0,False,88.0,0.0,356136.189737,468204.918737,466950.454361,1.0
4,71.0280373832,71.0280373832,347.529969826,347.529969826,,1.0,1.0,0.0,106.0,60.0,return,249.21153534,-10.0,return,88.0,0.0,True,88.0,0.0,356136.189737,502285.313048,500910.031124,1.0
5,71.9298245614,71.9298245614,345.551289606,345.551289606,,1.0,1.0,0.0,113.0,67.0,return,400.851755843,-5.0,return,88.0,0.0,True,88.0,0.0,356136.189737,518285.480793,516997.764097,1.0
6,72.6495726496,72.6495726496,345.257357619,345.257357619,,1.0,1.0,0.0,116.0,70.0,return,374.701157574,-5.0,return,88.0,0.0,True,88.0,0.0,356136.189737,525215.555188,523965.487244,1.0
7,72.5,72.5,347.724834014,347.724834014,,0.0,1.0,0.0,119.0,73.0,lctrl,248.56590377,10.0,lctrl,88.0,0.0,False,88.0,0.0,356136.189737,532685.639253,531309.533944,1.0
8,73.4848484848,73.4848484848,389.706019001,389.706019001,,0.0,1.0,0.0,131.0,85.0,return,2191.84415011,0.0,return,88.0,0.0,True,88.0,0.0,356136.189737,564325.985484,563117.440762,1.0
9,75.3333333333,75.3333333333,437.857066045,437.857066045,,1.0,1.0,0.0,149.0,103.0,lctrl,628.469029361,0.0,lctrl,88.0,0.0,False,88.0,0.0,356136.189737,629056.696802,627780.925815,1.0
10,77.1929824561,77.1929824561,449.456955627,449.456955627,,1.0,1.0,0.0,170.0,124.0,lctrl,349.279838983,-10.0,lctrl,88.0,0.0,False,88.0,0.0,356136.189737,682767.299975,681395.584082,1.0
11,78.3333333333,78.3333333333,457.834356329,457.834356329,,1.0,1.0,0.0,179.0,133.0,return,612.794400175,-10.0,return,88.0,0.0,True,88.0,0.0,356136.189737,706167.544863,704859.355714,1.0
12,76.7567567568,76.7567567568,477.930570405,477.930570405,,0.0,0.0,0.0,184.0,138.0,lctrl,1904.46978833,0.0,return,88.0,0.0,True,88.0,0.0,356136.189737,720667.69981,719395.230635,1.0
