,acc,accuracy,average_response_time,avg_rt,bg,correct,correct_keyboard_response,count_exp,count_keyboard_response,count_sequence,response_keyboard_response,response_time_keyboard_response,soa,t1first_resp,t1lum,t1ori,t1right,t2lum,t2ori,time_exp,time_keyboard_response,time_sequence,condition
0,67.8571428571,67.8571428571,1294.90069943,1294.90069943,,0.0,1.0,0.0,55.0,9.0,lctrl,527.823152905,5.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,470134.953259,468806.191944,1.0
1,70.9677419355,70.9677419355,1214.16621547,1214.16621547,,1.0,1.0,0.0,61.0,15.0,return,349.512407989,-5.0,return,88.0,0.0,True,88.0,0.0,444135.16151,485025.091006,483741.558177,1.0
2,73.2394366197,73.2394366197,1129.40050044,1129.40050044,,0.0,1.0,0.0,70.0,24.0,return,451.020755892,10.0,return,88.0,0.0,True,88.0,0.0,444135.16151,507995.341699,506685.646827,1.0
3,71.1111111111,71.1111111111,1078.33945523,1078.33945523,,0.0,0.0,0.0,89.0,43.0,lctrl,823.853210139,0.0,return,88.0,0.0,True,88.0,0.0,444135.16151,562325.931045,561116.841329,1.0
4,66.9565217391,66.9565217391,960.809312184,960.809312184,,1.0,1.0,0.0,114.0,68.0,lctrl,578.195067621,-5.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,638466.768105,637212.754254,1.0
5,64.1891891892,64.1891891892,855.728290903,855.728290903,,0.0,1.0,0.0,147.0,101.0,return,322.048283841,5.0,return,88.0,0.0,True,88.0,0.0,444135.16151,737577.841854,736291.065628,1.0
6,67.0658682635,67.0658682635,839.401838288,839.401838288,,1.0,1.0,0.0,166.0,120.0,lctrl,1412.93617901,0.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,787758.405697,786522.929848,1.0
7,70.0980392157,70.0980392157,796.296218318,796.296218318,,1.0,1.0,0.0,203.0,157.0,return,380.112740102,-10.0,return,88.0,0.0,True,88.0,0.0,444135.16151,920069.837714,918689.773127,1.0
8,71.5481171548,71.5481171548,738.632035826,738.632035826,,1.0,1.0,0.0,238.0,192.0,lctrl,564.279638784,-10.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,1003980.77162,1002648.37006,1.0
9,71.6666666667,71.6666666667,737.205251036,737.205251036,,1.0,1.0,0.0,239.0,193.0,return,396.203686149,-5.0,return,88.0,0.0,True,88.0,0.0,444135.16151,1006500.79525,1005248.49398,1.0
10,72.2222222222,72.2222222222,699.475550733,699.475550733,,1.0,0.0,0.0,269.0,223.0,return,528.391821907,0.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,1090711.72683,1089479.2239,1.0
11,72.1611721612,72.1611721612,695.748132584,695.748132584,,1.0,0.0,0.0,272.0,226.0,return,386.231758563,0.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,1097861.80511,1096654.96465,1.0
12,73.7373737374,73.7373737374,668.642748197,668.642748197,,1.0,1.0,0.0,296.0,250.0,return,194.55414106,-10.0,return,88.0,0.0,True,88.0,0.0,444135.16151,1175172.64375,1173837.86234,1.0
13,73.8255033557,73.8255033557,667.253010994,667.253010994,,0.0,1.0,0.0,297.0,251.0,return,254.501061765,5.0,return,88.0,0.0,True,88.0,0.0,444135.16151,1177392.66981,1176070.6752,1.0
14,74.1641337386,74.1641337386,632.385540274,632.385540274,,0.0,1.0,0.0,328.0,282.0,lctrl,304.986946729,10.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,1247893.44071,1246590.15771,1.0
15,74.1935483871,74.1935483871,628.63508833,628.63508833,,1.0,1.0,0.0,340.0,294.0,return,318.323804619,-10.0,return,88.0,0.0,True,88.0,0.0,444135.16151,1277943.76691,1276637.6886,1.0
16,74.6397694524,74.6397694524,623.288379193,623.288379193,,1.0,1.0,0.0,346.0,300.0,lctrl,267.639228092,-10.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,1310434.12468,1309132.60166,1.0
17,74.6556473829,74.6556473829,612.69409596,612.69409596,,0.0,1.0,0.0,362.0,316.0,return,262.808968157,5.0,return,88.0,0.0,True,88.0,0.0,444135.16151,1348374.53557,1347093.17757,1.0
18,75.1336898396,75.1336898396,613.873929085,613.873929085,,0.0,1.0,0.0,373.0,327.0,lctrl,774.152057569,5.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,1377054.85713,1375764.79346,1.0
19,74.8704663212,74.8704663212,614.48260507,614.48260507,,1.0,0.0,0.0,385.0,339.0,lctrl,529.466307024,0.0,return,88.0,0.0,True,88.0,0.0,444135.16151,1408995.2171,1407764.51753,1.0
20,75.0,75.0,619.841212509,619.841212509,,0.0,1.0,0.0,391.0,345.0,return,335.104517682,10.0,return,88.0,0.0,True,88.0,0.0,444135.16151,1426965.39877,1425635.47075,1.0
21,75.3056234719,75.3056234719,619.757801936,619.757801936,,1.0,1.0,0.0,408.0,362.0,lctrl,399.771478213,-5.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,1488396.07219,1487075.26953,1.0
22,75.421686747,75.421686747,621.282477594,621.282477594,,1.0,0.0,0.0,414.0,368.0,lctrl,705.414112534,0.0,return,88.0,0.0,True,88.0,0.0,444135.16151,1504466.24797,1503227.46566,1.0
23,75.5344418052,75.5344418052,616.958511566,616.958511566,,1.0,1.0,0.0,420.0,374.0,lctrl,311.09144189,-10.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,1518836.41788,1517466.66473,1.0
24,75.4716981132,75.4716981132,614.779494935,614.779494935,,1.0,1.0,0.0,423.0,377.0,lctrl,252.95471949,-10.0,lctrl,88.0,0.0,False,88.0,0.0,444135.16151,1525806.49186,1524506.56303,1.0
