,acc,accuracy,average_response_time,avg_rt,bg,correct,correct_keyboard_response,count_exp,count_keyboard_response,count_sequence,response_keyboard_response,response_time_keyboard_response,soa,t1first_resp,t1lum,t1ori,t1right,t2lum,t2ori,time_exp,time_keyboard_response,time_sequence,condition
0,64.5161290323,64.5161290323,561.551018975,561.551018975,,0.0,0.0,0.0,61.0,15.0,return,377.082922749,0.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,399774.371575,398543.047968,1.0
1,63.4920634921,63.4920634921,557.447514205,557.447514205,,1.0,0.0,0.0,62.0,16.0,return,303.030218466,0.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,402064.403681,400854.924764,1.0
2,65.0,65.0,530.703178546,530.703178546,,1.0,0.0,0.0,79.0,33.0,lctrl,372.122033941,0.0,return,88.0,0.0,True,88.0,0.0,361183.991125,442994.869393,441718.268881,1.0
3,65.0485436893,65.0485436893,521.951395661,521.951395661,,0.0,0.0,0.0,102.0,56.0,return,786.754670156,-5.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,504115.581974,502829.817937,1.0
4,64.7619047619,64.7619047619,523.945908151,523.945908151,,1.0,0.0,0.0,104.0,58.0,lctrl,710.634228862,0.0,return,88.0,0.0,True,88.0,0.0,361183.991125,509375.634415,508101.259704,1.0
5,68.75,68.75,530.306401671,530.306401671,,0.0,1.0,0.0,127.0,81.0,return,659.357579105,10.0,return,88.0,0.0,True,88.0,0.0,361183.991125,568226.293038,566853.474834,1.0
6,67.6470588235,67.6470588235,534.454279496,534.454279496,,1.0,1.0,0.0,135.0,89.0,return,278.886738667,-10.0,return,88.0,0.0,True,88.0,0.0,361183.991125,589326.532999,587996.797654,1.0
7,68.8235294118,68.8235294118,572.248564262,572.248564262,,1.0,1.0,0.0,169.0,123.0,lctrl,686.782649264,-5.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,684317.614707,683060.131718,1.0
8,68.9655172414,68.9655172414,581.279397605,581.279397605,,1.0,1.0,0.0,173.0,127.0,return,844.484659109,0.0,return,88.0,0.0,True,88.0,0.0,361183.991125,695967.757067,694731.815135,1.0
9,68.6486486486,68.6486486486,590.248931701,590.248931701,,1.0,1.0,0.0,184.0,138.0,lctrl,461.836724546,-10.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,726238.109396,724867.223693,1.0
10,69.1489361702,69.1489361702,594.698051657,594.698051657,,0.0,1.0,0.0,187.0,141.0,return,1519.65080741,5.0,return,88.0,0.0,True,88.0,0.0,361183.991125,733748.177506,732491.164269,1.0
11,70.351758794,70.351758794,599.384285141,599.384285141,,0.0,1.0,0.0,198.0,152.0,lctrl,534.988518999,5.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,765828.537442,764506.42988,1.0
12,69.1588785047,69.1588785047,609.790347291,609.790347291,,0.0,0.0,0.0,213.0,167.0,return,942.087343551,0.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,806189.001666,804954.234417,1.0
13,68.9189189189,68.9189189189,608.268607799,608.268607799,,1.0,1.0,0.0,221.0,175.0,lctrl,393.597471785,-10.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,827369.251013,826034.072033,1.0
14,68.8796680498,68.8796680498,612.636225258,612.636225258,,0.0,1.0,0.0,240.0,194.0,return,672.496999174,0.0,return,88.0,0.0,True,88.0,0.0,361183.991125,877049.795655,875842.01785,1.0
15,68.2926829268,68.2926829268,622.548560428,622.548560428,,0.0,0.0,0.0,245.0,199.0,lctrl,1298.19406484,-5.0,return,88.0,0.0,True,88.0,0.0,361183.991125,891879.965404,890593.818507,1.0
16,68.7258687259,68.7258687259,616.786106842,616.786106842,,0.0,1.0,0.0,258.0,212.0,return,411.407227865,10.0,return,88.0,0.0,True,88.0,0.0,361183.991125,926910.375682,925609.043085,1.0
17,69.4029850746,69.4029850746,617.290981882,617.290981882,,0.0,1.0,0.0,267.0,221.0,return,1338.91918755,10.0,return,88.0,0.0,True,88.0,0.0,361183.991125,949830.624701,948496.476021,1.0
18,68.9895470383,68.9895470383,613.563021998,613.563021998,,1.0,1.0,0.0,286.0,240.0,lctrl,427.817281025,-5.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,999181.179781,997856.245673,1.0
19,67.9190751445,67.9190751445,623.749449313,623.749449313,,1.0,1.0,0.0,345.0,299.0,return,855.970455415,-5.0,return,88.0,0.0,True,88.0,0.0,361183.991125,1175783.16078,1174494.88857,1.0
20,68.3615819209,68.3615819209,627.118373555,627.118373555,,0.0,1.0,0.0,353.0,307.0,lctrl,1015.11215738,5.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1213583.59733,1212302.04474,1.0
21,68.3195592287,68.3195592287,630.476811553,630.476811553,,0.0,0.0,0.0,362.0,316.0,return,800.562998037,-5.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1238533.87281,1237213.85172,1.0
22,68.8524590164,68.8524590164,631.258353314,631.258353314,,1.0,1.0,0.0,426.0,380.0,lctrl,296.262194028,-10.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1435276.08662,1433971.35986,1.0
23,69.4252873563,69.4252873563,627.52056261,627.52056261,,1.0,1.0,0.0,434.0,388.0,return,415.826839051,0.0,return,88.0,0.0,True,88.0,0.0,361183.991125,1454436.30342,1453163.50873,1.0
24,69.4013303769,69.4013303769,635.883912093,635.883912093,,0.0,0.0,0.0,450.0,404.0,lctrl,1226.71860019,-5.0,return,88.0,0.0,True,88.0,0.0,361183.991125,1505816.86477,1504531.09753,1.0
25,69.6703296703,69.6703296703,634.514125279,634.514125279,,1.0,1.0,0.0,454.0,408.0,lctrl,614.482891646,-10.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1516316.99173,1514979.24979,1.0
26,69.8030634573,69.8030634573,633.200633165,633.200633165,,1.0,1.0,0.0,456.0,410.0,lctrl,350.373505933,-10.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1521317.04063,1519939.13122,1.0
27,69.9134199134,69.9134199134,633.180714709,633.180714709,,1.0,1.0,0.0,461.0,415.0,lctrl,300.093729511,-5.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1534447.18837,1533162.60735,1.0
28,70.8757637475,70.8757637475,626.385204024,626.385204024,,0.0,1.0,0.0,490.0,444.0,lctrl,3996.53295546,5.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1603797.96482,1602545.61495,1.0
29,70.8333333333,70.8333333333,617.828002366,617.828002366,,0.0,0.0,0.0,503.0,457.0,lctrl,265.143898071,0.0,return,88.0,0.0,True,88.0,0.0,361183.991125,1668248.701,1667040.99584,1.0
30,70.7602339181,70.7602339181,617.900839792,617.900839792,,0.0,1.0,0.0,512.0,466.0,lctrl,1606.62328697,10.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1690378.96039,1689040.75538,1.0
31,70.7224334601,70.7224334601,627.953856554,627.953856554,,1.0,0.0,0.0,525.0,479.0,return,1683.77820272,5.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1729429.38508,1728177.04169,1.0
32,69.4545454545,69.4545454545,632.692220852,632.692220852,,0.0,0.0,0.0,549.0,503.0,return,422.021412254,0.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1810050.28102,1808775.68272,1.0
33,68.9839572193,68.9839572193,631.268115041,631.268115041,,1.0,0.0,0.0,560.0,514.0,return,1821.42952314,10.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1836730.59918,1835391.60426,1.0
34,68.8612099644,68.8612099644,630.951592833,630.951592833,,0.0,0.0,0.0,561.0,515.0,return,453.382633892,0.0,lctrl,88.0,0.0,False,88.0,0.0,361183.991125,1840530.63202,1839255.86167,1.0
35,68.8927943761,68.8927943761,628.401981281,628.401981281,,0.0,1.0,0.0,568.0,522.0,return,448.970083619,0.0,return,88.0,0.0,True,88.0,0.0,361183.991125,1857470.81876,1856198.98351,1.0
36,68.0532445923,68.0532445923,636.354214203,636.354214203,,1.0,1.0,0.0,600.0,554.0,return,260.887333541,-5.0,return,88.0,0.0,True,88.0,0.0,361183.991125,1953041.90216,1951781.95192,1.0
37,68.0713128039,68.0713128039,633.180049577,633.180049577,,0.0,1.0,0.0,616.0,570.0,return,413.987962377,5.0,return,88.0,0.0,True,88.0,0.0,361183.991125,1993232.35025,1991909.47128,1.0
38,68.0124223602,68.0124223602,626.552130838,626.552130838,,1.0,0.0,0.0,643.0,597.0,lctrl,482.551236044,5.0,return,88.0,0.0,True,88.0,0.0,361183.991125,2059883.09388,2058557.13381,1.0
