,acc,accuracy,average_response_time,avg_rt,bg,correct,correct_keyboard_response,count_exp,count_keyboard_response,count_sequence,response_keyboard_response,response_time_keyboard_response,soa,t1first_resp,t1lum,t1ori,t1right,t2lum,t2ori,time_exp,time_keyboard_response,time_sequence,condition
0,64.5833333333,64.5833333333,1149.83259795,1149.83259795,,0.0,1.0,0.0,47.0,1.0,return,456.998857499,5.0,return,88.0,0.0,True,88.0,0.0,186266.908307,190037.397041,188795.893248,1.0
1,68.085106383,68.085106383,1038.03226213,1038.03226213,,0.0,1.0,0.0,93.0,47.0,return,687.747437187,10.0,return,88.0,0.0,True,88.0,0.0,186266.908307,323130.759658,321805.502221,1.0
2,67.0103092784,67.0103092784,1041.83289126,1041.83289126,,0.0,1.0,0.0,96.0,50.0,lctrl,695.133256711,10.0,lctrl,88.0,0.0,False,88.0,0.0,186266.908307,335340.939814,334046.743327,1.0
3,68.0,68.0,1002.51265757,1002.51265757,,1.0,0.0,0.0,124.0,78.0,return,667.734292645,5.0,lctrl,88.0,0.0,False,88.0,0.0,186266.908307,415147.083631,413909.933034,1.0
4,68.5039370079,68.5039370079,998.488878993,998.488878993,,1.0,1.0,0.0,126.0,80.0,return,604.241188095,-10.0,return,88.0,0.0,True,88.0,0.0,186266.908307,420782.571315,419418.50961,1.0
5,70.0729927007,70.0729927007,1002.34576252,1002.34576252,,0.0,1.0,0.0,136.0,90.0,lctrl,664.375433706,10.0,lctrl,88.0,0.0,False,88.0,0.0,186266.908307,450958.379238,449599.612052,1.0
6,70.8860759494,70.8860759494,967.014682552,967.014682552,,0.0,1.0,0.0,157.0,111.0,return,521.786366513,0.0,return,88.0,0.0,True,88.0,0.0,186266.908307,509911.185639,508649.632,1.0
7,70.8074534161,70.8074534161,958.458207245,958.458207245,,0.0,0.0,0.0,160.0,114.0,return,679.890276369,0.0,lctrl,88.0,0.0,False,88.0,0.0,186266.908307,517215.323791,516021.371776,1.0
8,69.5652173913,69.5652173913,932.247791776,932.247791776,,0.0,0.0,0.0,183.0,137.0,return,465.433725745,0.0,lctrl,88.0,0.0,False,88.0,0.0,186266.908307,580084.982122,578858.828015,1.0
9,70.7070707071,70.7070707071,899.31626421,899.31626421,,1.0,1.0,0.0,197.0,151.0,return,454.070560507,-5.0,return,88.0,0.0,True,88.0,0.0,186266.908307,617285.231827,615976.597072,1.0
10,68.7203791469,68.7203791469,870.528502247,870.528502247,,1.0,0.0,0.0,210.0,164.0,return,367.747817792,5.0,lctrl,88.0,0.0,False,88.0,0.0,186266.908307,648580.131078,647341.833902,1.0
11,67.5799086758,67.5799086758,870.172598465,870.172598465,,1.0,0.0,0.0,218.0,172.0,lctrl,1869.96519483,0.0,return,88.0,0.0,True,88.0,0.0,186266.908307,669783.882031,668525.004197,1.0
12,66.6666666667,66.6666666667,868.615993475,868.615993475,,1.0,1.0,0.0,236.0,190.0,lctrl,741.578215129,-10.0,lctrl,88.0,0.0,False,88.0,0.0,186266.908307,722061.322964,720737.359592,1.0
13,67.2473867596,67.2473867596,860.896626885,860.896626885,,1.0,1.0,0.0,286.0,240.0,return,546.311745878,-5.0,return,88.0,0.0,True,88.0,0.0,186266.908307,864737.16521,863420.945496,1.0
14,66.4383561644,66.4383561644,856.185543667,856.185543667,,0.0,0.0,0.0,291.0,245.0,return,475.802214725,0.0,lctrl,88.0,0.0,False,88.0,0.0,186266.908307,877386.983776,876193.249591,1.0
15,67.2672672673,67.2672672673,885.815674177,885.815674177,,0.0,1.0,0.0,332.0,286.0,lctrl,608.589286043,0.0,lctrl,88.0,0.0,False,88.0,0.0,186266.908307,5640826.50087,5639564.05144,1.0
16,66.5722379603,66.5722379603,867.69953239,867.69953239,,0.0,0.0,0.0,352.0,306.0,lctrl,436.216342594,0.0,return,88.0,0.0,True,88.0,0.0,186266.908307,5695192.9067,5693976.43565,1.0
17,66.384180791,66.384180791,866.524425844,866.524425844,,0.0,0.0,0.0,353.0,307.0,lctrl,451.711815068,-5.0,return,88.0,0.0,True,88.0,0.0,186266.908307,5697601.00127,5696332.89711,1.0
18,66.5753424658,66.5753424658,857.463418062,857.463418062,,1.0,1.0,0.0,364.0,318.0,lctrl,468.619612282,-5.0,lctrl,88.0,0.0,False,88.0,0.0,186266.908307,5725548.70379,5724273.58728,1.0
19,66.2303664921,66.2303664921,850.721466013,850.721466013,,0.0,0.0,0.0,381.0,335.0,lctrl,391.736608912,-5.0,return,88.0,0.0,True,88.0,0.0,186266.908307,5771202.03482,5769886.39519,1.0
20,66.2468513854,66.2468513854,851.341507262,851.341507262,,1.0,0.0,0.0,396.0,350.0,lctrl,325.034169695,0.0,return,88.0,0.0,True,88.0,0.0,186266.908307,5816285.9159,5815023.83451,1.0
